country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",21-04-2026 17:00,14.465052,78.824187,PM2.5,46,81,54
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",21-04-2026 17:00,14.465052,78.824187,NO2,20,27,21
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",21-04-2026 17:00,16.186555,81.13219,NH3,3,5,5
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",21-04-2026 17:00,16.186555,81.13219,OZONE,30,44,38
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ",21-04-2026 17:00,14.438164,79.966814,PM2.5,27,64,37
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ",21-04-2026 17:00,14.438164,79.966814,CO,32,45,38
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ",21-04-2026 17:00,14.438164,79.966814,OZONE,4,48,32
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",21-04-2026 17:00,16.9872867,81.7363176,SO2,3,8,6
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21-04-2026 17:00,17.72,83.3,PM2.5,13,73,40
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",21-04-2026 17:00,27.103358,93.679645,NO2,7,8,7
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",21-04-2026 17:00,27.103358,93.679645,CO,10,35,12
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",21-04-2026 17:00,26.071318,91.87488,PM10,44,150,78
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",21-04-2026 17:00,26.071318,91.87488,CO,34,97,57
India,Assam,Guwahati,"IITG, Guwahati - PCBA",21-04-2026 17:00,26.2028636,91.70046436,PM10,16,47,33
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",21-04-2026 17:00,26.1875,91.744194,NO2,NA,NA,NA
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",21-04-2026 17:00,26.1875,91.744194,SO2,NA,NA,NA
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",21-04-2026 17:00,26.181742,91.78063,SO2,2,5,3
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",21-04-2026 17:00,26.349082,92.68449,NH3,4,4,4
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",21-04-2026 17:00,26.446912,91.439057,PM2.5,12,54,32
India,Assam,Silchar,"Tarapur, Silchar - PCBA",21-04-2026 17:00,24.82827,92.79525,NH3,1,1,1
