country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,date,year,month,day,hour,day_name,pollutant_range,pollution_category
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",,14.465052,78.824187,PM2.5,46.0,81.0,54.0,,,,,,,35.0,Satisfactory
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",,14.465052,78.824187,NO2,20.0,27.0,21.0,,,,,,,7.0,Unknown
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",,16.186555,81.13219,NH3,3.0,5.0,5.0,,,,,,,2.0,Unknown
India,Andhra_Pradesh,Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",,16.186555,81.13219,OZONE,30.0,44.0,38.0,,,,,,,14.0,Unknown
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB",,14.438164,79.966814,PM2.5,27.0,64.0,37.0,,,,,,,37.0,Satisfactory
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB",,14.438164,79.966814,CO,32.0,45.0,38.0,,,,,,,13.0,Unknown
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB",,14.438164,79.966814,OZONE,4.0,48.0,32.0,,,,,,,44.0,Unknown
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",,16.9872867,81.7363176,SO2,3.0,8.0,6.0,,,,,,,5.0,Unknown
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",,17.72,83.3,PM2.5,13.0,73.0,40.0,,,,,,,60.0,Satisfactory
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",,27.103358,93.679645,NO2,7.0,8.0,7.0,,,,,,,1.0,Unknown
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",,27.103358,93.679645,CO,10.0,35.0,12.0,,,,,,,25.0,Unknown
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",,26.071318,91.87488,PM10,44.0,150.0,78.0,,,,,,,106.0,Satisfactory
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",,26.071318,91.87488,CO,34.0,97.0,57.0,,,,,,,63.0,Unknown
India,Assam,Guwahati,"IITG, Guwahati - PCBA",,26.2028636,91.70046436,PM10,16.0,47.0,33.0,,,,,,,31.0,Good
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",,26.1875,91.744194,NO2,,,,,,,,,,,Unknown
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",,26.1875,91.744194,SO2,,,,,,,,,,,Unknown
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",,26.181742,91.78063,SO2,2.0,5.0,3.0,,,,,,,3.0,Unknown
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",,26.349082,92.68449,NH3,4.0,4.0,4.0,,,,,,,0.0,Unknown
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",,26.446912,91.439057,PM2.5,12.0,54.0,32.0,,,,,,,42.0,Satisfactory
India,Assam,Silchar,"Tarapur, Silchar - PCBA",,24.82827,92.79525,NH3,1.0,1.0,1.0,,,,,,,0.0,Unknown
